sessionID,formId,totalKeyInputs,totalTimeSpentOnPage,browser_width,browser_height,pixel_ratio,user_agent,platform,language,timezone,mousespeed_sd,keystroke_sd
fqi9102u0,login-form,28,12348,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,337.06231895409275
fqi9102u0,login-form,40,27519,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,696.3354058928784
fqi9102u0,login-form,38,39249,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,559.4996404336908
fqi9102u0,login-form,41,53040,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,705.8677590581758
fqi9102u0,login-form,53,66311,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,336.54063309147256
fqi9102u0,login-form,37,77565,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,442.9641870408154
fqi9102u0,login-form,38,87652,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,341.0599343353954
fqi9102u0,login-form,31,97324,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,407.2103363920372
fqi9102u0,login-form,32,107653,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,507.7578432124412
fqi9102u0,login-form,34,117146,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,311.9159455581352
