sessionID,formId,totalKeyInputs,totalTimeSpentOnPage,averageTimePerField,browser_width,browser_height,pixel_ratio,user_agent,platform,language,timezone,mousespeed_sd,keystroke_sd
fqi9102u0,login-form,28,12348,6174,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,337.06231895409275
fqi9102u0,login-form,40,27519,13759.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,696.3354058928784
fqi9102u0,login-form,38,39249,19624.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,559.4996404336908
fqi9102u0,login-form,41,53040,26520,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,705.8677590581758
fqi9102u0,login-form,53,66311,33155.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,336.54063309147256
fqi9102u0,login-form,37,77565,38782.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,442.9641870408154
fqi9102u0,login-form,38,87652,43826,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,341.0599343353954
fqi9102u0,login-form,31,97324,48662,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,407.2103363920372
fqi9102u0,login-form,32,107653,53826.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,507.7578432124412
fqi9102u0,login-form,34,117146,58573,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,311.9159455581352
fqi9102u0,login-form,37,130671,65335.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,884.3865057765794
fqi9102u0,login-form,51,142161,71080.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,273.3722086738186
fqi9102u0,login-form,56,155368,77684,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,252.10601713872484
fqi9102u0,login-form,36,163093,81546.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,308.4763131951449
fqi9102u0,login-form,54,175726,87863,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,264.0792503778169
fqi9102u0,login-form,41,184765,92382.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,291.8724285962241
fqi9102u0,login-form,34,194464,97232,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,261.37828219150896
fqi9102u0,login-form,46,204293,102146.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,204.67334041343156
fqi9102u0,login-form,36,212552,106276,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,290.5310697139564
fqi9102u0,login-form,42,222465,111232.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,264.1219054762042
fqi9102u0,login-form,36,230740,115370,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,303.9947142064021
fqi9102u0,login-form,36,238108,119054,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,283.52246819103397
fqi9102u0,login-form,36,245251,122625.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,224.7402667525336
fqi9102u0,login-form,40,253766,126883,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,234.3080824470211
fqi9102u0,login-form,36,261626,130813,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,225.75207640241092
fqi9102u0,login-form,36,268810,134405,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,234.71134097066317
fqi9102u0,login-form,36,276243,138121.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,309.06026795496547
fqi9102u0,login-form,36,283631,141815.5,1552,726,1.649999976158142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-US,GMT+8,410.4411520998947,204.92673148659202
