sessionID,formId,totalKeyInputs,totalTimeSpentOnPage,browser_width,browser_height,pixel_ratio,user_agent,platform,language,timezone,mousespeed_sd,keystroke_sd
ya2nwc89k,login-form,34,421437,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,751.7140279351327,733.3518179488537
ya2nwc89k,login-form,35,451383,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,1315.0987600280348,375.6666381386303
ya2nwc89k,login-form,41,516209,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,1149.1191849502213,557.0387329441285
ya2nwc89k,login-form,13,560928,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,432.2612160356943,578.6349057624044
ya2nwc89k,login-form,52,593043,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,313.18413536742946,385.7806368013729
ya2nwc89k,login-form,43,620138,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,195.1028580507906,478.89337725640496
ya2nwc89k,login-form,22,640560,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,265.4743385125251,504.6183218965109
ya2nwc89k,login-form,33,798026,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,2087.198690677868,308.1090259550992
ya2nwc89k,login-form,17,823147,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,2233.434213669647,446.2212131821503
ya2nwc89k,login-form,43,837173,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Win32,en-SG,GMT+8,368.56366251735716,420.33434821070034
